Episode,Total Reward,Requests Served,Average Waiting
0,-5089517,82,50.51
1,-8322931,86,63.25
2,-5773525,104,51.13
3,-4016474,98,54.37
4,-7241108,98,67.27
5,-5479668,110,56.98
6,-5676803,110,54.2
7,-2521949,109,43.12
8,-8312555,74,60.79
9,-2520921,95,44.73
10,-7280075,89,62.61
11,-3070075,97,46.47
12,-4948477,85,50.33
13,-1132358,113,32.73
14,-4179689,95,49.63
15,-3003206,97,48.89
16,-5242944,96,66.14
17,-9864543,75,70.77
18,-2997990,100,43.39
19,-2452311,125,44.91
20,-6040846,93,57.7
21,-2419657,98,37.22
22,-6102500,89,56.61
23,-7801198,106,59.66
24,-5259355,84,51.37
25,-5865067,73,52.27
26,-7094068,87,60.14
27,-3378300,112,48.92
28,-6145879,83,48.71
29,-4296803,98,55.93
30,-5337465,129,46.61
31,-8354808,73,53.31
32,-4995067,96,51.05
33,-5568358,74,53.23
34,-3786157,92,42.95
35,-4236926,109,58.79
36,-2803453,127,44.92
37,-4307897,105,54.99
38,-2725085,114,40.99
39,-7022569,98,56.96
40,-4590990,92,57.85
41,-7027966,103,61.87
42,-3852707,100,49.33
43,-3275080,103,48.7
44,-2296714,80,33.64
45,-3037634,139,44.69
46,-4585423,114,47.11
47,-7029990,99,60.59
48,-5760704,102,50.18
49,-6086075,106,53.12
50,-1895437,98,38.38
51,-3525044,107,47.01
52,-3779499,99,47.57
53,-4159957,104,48.06
54,-3114017,87,47.85
55,-3096567,82,44.18
56,-2811963,140,48.39
57,-4859429,76,50.52
58,-3225098,109,47.67
59,-1884206,99,34.6
60,-5270937,96,51.61
61,-2450211,116,45.06
62,-6103724,93,55.32
63,-7520901,88,69.52
64,-3798276,85,46.93
65,-5359394,86,54.21
66,-3602899,96,51.56
67,-3763602,68,47.73
68,-5201262,73,56.92
69,-6201705,86,49.05
70,-5322930,82,59.19
71,-5022277,88,57.29
72,-5535215,86,56.72
73,-5037869,91,54.07
74,-4076709,80,51.13
75,-3326196,94,50.03
76,-5145477,96,56.22
77,-5047111,107,57.62
78,-4219199,99,52.25
79,-5512251,84,63.85
80,-7513717,86,62.81
81,-4458111,70,57.84
82,-8923273,84,68.54
83,-5533867,81,54.58
84,-4252187,83,51.08
85,-2569055,88,41.28
86,-7221240,74,57.39
87,-5980765,100,55.68
88,-4703452,88,51.06
89,-6750205,78,64.14
90,-6028916,89,60.83
91,-5580750,90,58.13
92,-4477877,109,58.15
93,-2512993,115,46.51
94,-3852467,103,44.35
95,-5785736,99,53.83
96,-4210392,90,47.65
97,-5159000,81,51.9
98,-9679468,91,75.04
99,-6682561,79,59.28
100,-4489301,103,48.08
101,-5550730,95,58.37
102,-7060249,84,59.76
103,-6521706,82,60.7
104,-6485086,82,60.45
105,-3605388,111,51.7
106,-6788526,76,60.32
107,-8437474,73,59.72
108,-4041966,90,46.59
109,-6580738,102,56.55
110,-2985919,101,43.83
111,-4998568,82,54.79
112,-2017693,93,36.82
113,-5295502,83,61.03
114,-4049641,86,48.56
115,-10053488,83,72.83
116,-3544353,78,52.66
117,-5727193,95,55.46
118,-9697799,73,73.16
119,-5107338,99,55.66
120,-4933177,85,48.26
121,-4641551,89,53.46
122,-5220406,87,55.24
123,-6164908,77,55.59
124,-4437015,117,50.09
125,-4554706,75,46.46
126,-3719739,85,50.64
127,-6078960,76,59.73
128,-8036441,58,65.07
129,-8146273,68,63.87
130,-3075048,100,43.77
131,-5932906,85,53.19
132,-4592892,83,50.73
133,-3714681,81,47.74
134,-6816832,86,59.32
135,-6260989,82,56.53
136,-5997393,61,57.19
137,-9990939,71,67.85
138,-4533886,87,51.05
139,-5411847,95,59.49
140,-10802511,79,76.3
141,-7590091,80,60.96
142,-7305613,80,64.01
143,-6179603,96,58.27
144,-9497525,75,73.06
145,-8498242,89,68.94
146,-9623724,74,76.19
147,-7722090,84,62.21
148,-3799822,83,46.7
149,-8453747,66,60.12
150,-7853265,66,60.71
151,-7136410,62,67.11
152,-5623306,85,63.06
153,-5836490,78,58.0
154,-8758523,66,62.86
155,-9930018,58,70.66
156,-5589811,75,58.1
157,-10900744,75,72.12
158,-6305487,68,59.77
159,-7592158,62,58.21
160,-7047954,69,55.98
161,-7919932,96,65.48
162,-5104139,83,56.0
163,-6988083,85,60.55
164,-5093526,95,61.27
165,-3695348,90,50.51
166,-7459898,56,62.15
167,-4641959,71,55.72
168,-8735470,74,66.35
169,-4343741,74,48.66
170,-3725256,83,47.66
171,-6843374,74,63.09
172,-5761969,73,57.0
173,-4806296,69,51.26
174,-4420985,95,59.59
175,-10049539,74,75.81
176,-5993458,71,60.59
177,-10307209,47,75.66
178,-6873713,69,59.95
179,-7301073,78,62.06
180,-3950256,81,56.67
181,-13019907,52,85.73
182,-6211261,79,57.13
183,-4896845,101,53.76
184,-6529535,73,57.21
185,-7272174,72,63.84
186,-4835604,75,53.72
187,-8200495,62,62.36
188,-9942365,60,75.05
189,-7565934,91,66.28
190,-4316607,90,55.39
191,-6058057,91,59.99
192,-5887094,73,57.43
193,-5510366,96,51.3
194,-5385148,80,54.2
195,-6506909,82,57.13
