Episode,Total Reward,Requests Served,Average Waiting
0,-1287866.0,210,31.0
1,-6005387.0,84,58.33
2,-9213914.0,51,67.92
3,-11367371.0,46,76.66
4,-13073194.0,45,81.82
5,-10343259.0,48,67.89
6,-15390418.0,54,90.15
7,-12359235.0,50,74.74
8,-12293966.0,41,74.96
9,-11301467.0,42,72.04
10,-11471828.0,36,73.61
11,-10690073.0,51,75.35
12,-12538466.0,45,82.17
13,-11928746.0,44,84.25
14,-12874597.0,58,82.51
15,-11075744.0,51,73.19
16,-13893769.0,46,86.11
17,-10690812.0,46,74.03
18,-9951082.0,48,66.26
19,-11235590.0,55,73.65
20,-10995689.0,37,73.93
21,-12582067.0,52,77.68
22,-13563547.0,44,85.0
23,-11906801.0,49,74.69
24,-10071798.0,53,75.71
25,-12988507.0,35,81.68
26,-10039550.0,46,69.7
27,-10910291.0,46,73.92
28,-10651337.0,56,71.39
29,-10832994.0,36,69.06
30,-11632458.0,49,75.24
31,-11767583.0,48,69.07
32,-10104149.0,40,71.14
33,-10949442.0,50,73.87
34,-11667995.0,39,75.1
35,-11038228.0,34,70.69
36,-12580635.0,47,82.78
37,-8535181.0,57,60.09
38,-13555445.0,41,84.21
39,-11051304.0,42,73.44
40,-10634114.0,50,71.11
41,-12017408.0,55,76.31
42,-11095660.0,47,76.53
43,-13895158.0,52,81.55
44,-14274979.0,33,82.98
45,-10933835.0,47,70.81
46,-11950726.0,43,75.46
47,-12743919.0,48,78.65
48,-7225647.0,39,55.11
49,-13872317.0,43,83.13
50,-13612556.0,47,87.79
51,-9913640.0,47,64.35
52,-12586152.0,53,79.33
53,-11497364.0,51,75.09
54,-11558932.0,40,74.95
55,-12020928.0,51,84.78
56,-11156043.0,50,73.68
57,-10600889.0,48,71.07
58,-10018065.0,59,67.17
59,-14810109.0,40,86.5
60,-12059800.0,54,74.72
61,-11379699.0,44,70.48
62,-13284174.0,56,82.97
63,-11995455.0,41,74.26
64,-13064876.0,49,84.75
65,-14143185.0,38,88.45
66,-13467681.0,44,81.86
67,-13221122.0,38,81.83
68,-11162497.0,45,75.39
69,-11471154.0,52,74.5
70,-9655297.0,43,69.22
71,-11363002.0,43,77.24
72,-11115020.0,47,70.93
73,-10187967.0,51,68.38
74,-10819583.0,56,73.4
75,-14324584.0,50,93.55
76,-10835825.0,49,69.16
77,-11684036.0,50,73.78
78,-10134793.0,52,67.95
79,-12769758.0,47,80.31
80,-13452923.0,54,81.44
81,-8951231.0,39,59.08
82,-10614584.0,47,70.87
83,-12382860.0,49,75.33
84,-11080481.0,47,77.03
85,-9309764.0,63,62.72
86,-11643575.0,52,78.99
87,-10503578.0,49,72.28
88,-10949533.0,54,67.52
89,-12183277.0,65,82.37
