Episode,Total Reward,Requests Served,Average Waiting
0,-5098492.0,140,51.99
1,-6202150.0,140,58.85
2,-8478341.0,128,65.5
3,-6179086.0,134,49.43
4,-1543981.0,186,36.25
5,-4744942.0,112,44.91
6,-3546170.0,118,44.21
7,-6877813.0,128,58.46
8,-2693764.0,148,46.97
9,-5395683.0,134,49.61
10,-2637168.0,150,41.1
11,-5676241.0,116,53.62
12,-3548220.0,126,46.75
13,-3830592.0,140,45.83
14,-6883024.0,90,52.57
15,-6574700.0,140,56.98
16,-4166260.0,130,44.44
17,-3009094.0,138,47.02
18,-6396121.0,106,51.42
19,-6533151.0,108,55.61
20,-8687099.0,112,65.15
21,-3768552.0,124,48.64
22,-7265984.0,105,61.49
23,-2259271.0,140,41.47
24,-3758905.0,125,39.36
25,-9595151.0,94,68.25
26,-8746798.0,103,58.13
27,-4748749.0,116,53.04
28,-7394417.0,110,58.89
29,-7185553.0,132,63.45
30,-9652206.0,108,66.58
31,-5168277.0,133,44.63
32,-7387622.0,124,54.38
33,-3724714.0,136,46.56
34,-8667443.0,95,62.01
35,-4177207.0,114,46.24
36,-4289794.0,145,51.96
37,-6446959.0,124,55.42
38,-3715801.0,156,49.4
39,-5589713.0,128,59.84
40,-4861661.0,144,56.98
41,-5542533.0,120,52.55
42,-4696613.0,157,44.94
43,-3693520.0,146,44.13
44,-7954761.0,122,65.46
45,-4157252.0,114,49.84
46,-5345833.0,108,47.56
47,-9074764.0,92,64.97
48,-7224411.0,112,62.11
49,-7387478.0,98,63.37
50,-2027886.0,150,40.63
51,-8444559.0,99,64.92
52,-4047334.0,146,49.11
53,-12037981.0,98,73.45
54,-5578659.0,126,50.38
55,-3395743.0,146,45.87
56,-3369585.0,130,49.91
57,-6243273.0,134,49.56
58,-2543560.0,146,44.63
59,-6504674.0,118,58.47
60,-10523171.0,109,66.56
61,-4271440.0,114,44.79
62,-5509875.0,140,50.22
63,-5902330.0,101,47.4
64,-3964358.0,130,44.46
65,-3062704.0,128,53.12
66,-5730499.0,94,52.02
67,-8276040.0,113,61.73
68,-4628196.0,130,42.82
69,-7940511.0,126,59.83
70,-6525929.0,110,54.63
71,-5999710.0,98,59.57
72,-8302991.0,134,55.72
73,-4036497.0,120,46.65
74,-2576827.0,126,46.56
75,-5521917.0,148,55.01
